"region","county","state","msa","pmsa","pop.density","pop","pop.change","age6574","age75","crime","college","income","farm","democrat","republican","Perot","white","black","turnout"
"South","Dallas","AL",NA,NA,49,48130,-11,7.5,6.199999809,7685,12.19999981,20517,0.800000012,56.40000153,37.70000076,5.699999809,41.80552673,57.81217575,40.73135376
"South","De Kalb","AL",NA,NA,72,54651,4.199999809,8.199999809,6.400000095,1248,7.099999905,24836,5.199999809,38.20000076,48.70000076,12.69999981,96.94241333,1.881026864,39.49607468
"South","Elmore","AL",5240,NA,84,49210,21,6.699999809,5,3990,12.80000019,30853,2,30.5,55.70000076,13.60000038,76.91526031,22.43243217,41.43060303
"South","Escambia","AL",NA,NA,38,35518,-6.300000191,7.599999905,6.300000191,1297,7.599999905,22858,1.5,37.5,46.40000153,12.60000038,68.48921967,28.28425026,36.1056366
"South","Etowah","AL",2880,NA,187,99840,-3.099999905,9.399999619,6.5,6506,10.19999981,27071,0.899999976,48.40000153,41.09999847,10.10000038,85.41065979,13.82111359,42.51903152
"South","Fayette","AL",NA,NA,29,17962,-4.099999905,8.600000381,7.699999809,1964,8.5,26002,1.700000048,45.20000076,42.59999847,11.89999962,87.50138855,12.19240665,47.15510559
"South","Franklin","AL",NA,NA,45,27814,0.400000006,8.600000381,6.800000191,1528,6.900000095,22755,4.099999905,50.20000076,40.40000153,9.100000381,95.14273071,4.490544319,42.63320541
"South","Geneva","AL",NA,NA,42,23647,-0.899999976,9.199999809,7.599999905,1254,6.800000191,24989,5.800000191,36.70000076,49.09999847,13.39999962,87.46141052,11.94231796,41.72622299
"South","Greene","AL",NA,NA,16,10153,-7.400000095,7.400000095,8.199999809,4049,10.39999962,15663,4.699999809,79.19999695,16.5,4,19.3637352,80.57717133,48.07445908
"South","Hale","AL",NA,NA,25,15498,1.600000024,8.300000191,7.699999809,1645,8.899999619,18272,4.599999905,57.79999924,33.20000076,8.100000381,40.36004639,59.45283127,38.86307907
"South","Henry","AL",NA,NA,28,15374,1.700000048,9,7.300000191,3471,8.199999809,27554,3.900000095,43.09999847,45.70000076,10.30000019,64.51151276,35.09171295,42.27266693
"South","Houston","AL",2180,NA,144,81331,11.69999981,7.300000191,5.099999905,8269,15,29818,1.5,29.79999924,58.29999924,11.69999981,75.63290405,23.30476761,36.59121323
"South","Jackson","AL",NA,NA,45,47796,-4.699999809,7.5,5.099999905,2465,8,25772,2.599999905,56.20000076,30.20000076,13,93.51409912,4.117499352,39.57653427
"South","Jefferson","AL",1000,NA,591,651525,-2,8,6,8487,19.89999962,31609,0.100000001,42.09999847,50.09999847,7.400000095,64.20582581,35.07478714,45.87452698
"South","Lamar","AL",NA,NA,26,15715,-5.099999905,8.199999809,7.5,0,6.199999809,25506,3.200000048,41.29999924,47.29999924,11.10000038,87.8460083,11.8485527,43.89436722
"South","Lauderdale","AL",2650,NA,122,79661,1.600000024,8.399999619,5.900000095,3419,16.39999962,29589,2,47.20000076,40.70000076,11.89999962,89.83065796,9.659683228,42.37456131
"South","Lawrence","AL",2030,NA,46,31513,6.800000191,7,4.900000095,1601,6.199999809,25478,4.699999809,54.90000153,30.89999962,14,77.94561005,15.22546291,36.77529907
"South","Lee","AL",NA,NA,148,87146,17.79999924,5,3.599999905,4879,25.29999924,32596,1.100000024,38.79999924,47.59999847,12.89999962,74.46009827,23.41702461,40.72476196
"South","Limestone","AL",3440,NA,100,54135,23.5,6.5,4.800000191,1922,13.80000019,31739,2.400000095,37.40000153,45.70000076,16.60000038,86.18823242,13.16523552,39.89470673
"South","Lowndes","AL",NA,NA,18,12658,-4.199999809,6.699999809,6,2108,8.199999809,18535,4.599999905,68,25.79999924,5.5,25.16195297,74.70374298,40.66993332
"South","Macon","AL",NA,NA,40,24928,-9,8.399999619,6.900000095,6252,18,20096,2.799999952,82.80000305,12.89999962,3.200000048,13.81177807,85.60654449,35.14923096
"South","Madison","AL",3440,NA,312,238912,27.5,5.599999905,3.299999952,2752,30.10000038,39264,0.600000024,36.09999847,47.70000076,15.80000019,77.09825897,20.13963318,45.13544846
"South","Marengo","AL",NA,NA,24,23084,-7.300000191,7.699999809,6.900000095,3680,11.5,23015,1.899999976,50.09999847,39.79999924,8.199999809,49.0123024,50.87939835,48.70906067
"South","Marion","AL",NA,NA,40,29830,-1.200000048,8.199999809,7,955,6.699999809,22394,2.299999952,46.5,42.90000153,10.5,96.40965271,3.241703033,44.48541641
"South","Marshall","AL",NA,NA,130,70832,12,8.100000381,5.900000095,3147,11.5,26135,2.200000048,39,45.79999924,14.19999981,97.92325592,1.534617066,37.71882629
"South","Mobile","AL",5160,NA,316,378643,6.599999905,7,4.800000191,11758,15.5,27601,0.400000006,38.20000076,50.70000076,10.5,67.30693817,31.13011551,37.97455597
"South","Monroe","AL",NA,NA,23,23968,6,7.099999905,6.099999905,2684,10.80000019,26413,3.700000048,39.70000076,50.5,7.800000191,59.74633026,39.1021347,40.6583786
"South","Montgomery","AL",5240,NA,272,209085,9.100000381,6.699999809,4.900000095,8218,24.20000076,32351,0.400000006,43.29999924,47.29999924,8.899999619,57.11552811,41.75909424,41.20429611
"South","Morgan","AL",2030,NA,178,100043,15,6.900000095,4.800000191,4645,15.5,32912,1.399999976,34.29999924,47.90000153,17.5,89.08369446,10.07666683,43.95909882
"South","Perry","AL",NA,NA,17,12759,-18.5,7.699999809,8.100000381,3593,11.5,16404,3.900000095,63.90000153,31.5,3.700000048,35.29273605,64.41727448,45.55999756
"South","Pickens","AL",NA,NA,24,20699,-2.599999905,8.699999809,7.699999809,1872,6.599999905,22474,2.400000095,46.5,44.59999847,8.5,57.98347855,41.76530457,39.33523178
"South","Pike","AL",NA,NA,42,27595,0,7.699999809,6.900000095,2364,14.30000019,23735,3,41.90000153,48.40000153,9.100000381,64.55517578,34.6004715,40.5616951
"South","Randolph","AL",NA,NA,35,19881,0.699999988,9.199999809,7.400000095,2465,7.699999809,23994,3.599999905,40.70000076,46.79999924,11.30000019,76.14305115,23.57024384,41.00397491
"South","Russell","AL",1800,NA,77,46860,3.900000095,7.599999905,5.099999905,6297,8.199999809,24642,1.200000048,55.09999847,35.59999847,8.699999809,60.76184464,38.60008621,33.48057938
"South","St. Clair","AL",1000,NA,84,50009,29.29999924,7.099999905,4.5,1535,8.5,27388,1.600000024,30.10000038,57.59999847,12.10000038,90.25975037,9.120358467,43.2402153
"South","Shelby","AL",1000,NA,135,99358,61.79999924,4.599999905,3,1433,29,42549,0.800000012,21.39999962,68,10.39999962,91.30115509,7.767869949,48.47621918
"South","Sumter","AL",NA,NA,18,16174,-4.099999905,7.400000095,7.199999809,1655,11.10000038,17881,3.200000048,68.5,25.70000076,5.5,29.42376709,70.29182434,43.43390656
"South","Talladega","AL",NA,NA,102,74107,1.799999952,7.599999905,5.300000191,5857,10.19999981,25225,0.899999976,40.70000076,48.20000076,10,68.77893066,30.72989082,35.44064713
"South","Tallapoosa","AL",NA,NA,55,38826,1.299999952,9.100000381,7,3151,11.5,27247,1.299999952,36.90000153,52.70000076,10.10000038,73.38639069,26.3019619,39.80837631
"South","Tuscaloosa","AL",8600,NA,116,150522,11.69999981,6.599999905,4.800000191,8125,20,30135,0.5,40.5,47.29999924,12.10000038,72.67907715,26.16029549,38.58106995
"South","Walker","AL",NA,NA,86,67670,-0.400000006,8.199999809,6.199999809,2648,7.199999809,25322,1.200000048,50.20000076,38.29999924,11.30000019,93.16092682,6.509531498,43.64415359
"South","Washington","AL",NA,NA,16,16694,0.300000012,6.699999809,5.300000191,0,6.699999809,23818,3.400000095,49.59999847,40.09999847,10.19999981,65.7960968,27.69258499,48.891819
"South","Wilcox","AL",NA,NA,15,13568,-7.300000191,8.300000191,7.5,503,10.30000019,15306,4.900000095,64.80000305,31.5,3.299999952,30.97729874,68.93425751,39.09197998
"South","Winston","AL",NA,NA,36,22053,1.700000048,8.199999809,5.900000095,1047,5.400000095,22023,3.700000048,33.79999924,55,11,99.41957855,0.25846824,45.74887848
"West","Aleutians East","AK",NA,NA,0,2464,62.5,2.099999905,0.300000012,0,12.89999962,47188,0,NA,NA,NA,33.56331253,0.649350643,0
"West","Aleutians West","AK",NA,NA,2,9478,47.09999847,0.600000024,0.300000012,0,14.80000019,34020,0,NA,NA,NA,67.10276794,6.984595776,0
"West","Anchorage","AK",380,NA,145,226338,41,2.700000048,1,6725,26.89999962,50098,0,NA,NA,NA,80.73589325,6.425787926,0
"West","Bethel","AK",NA,NA,0,13656,30.39999962,3,1.799999952,1466,13.10000038,25570,0,NA,NA,NA,15.41446972,0.454012901,0
"West","Bristol Bay","AK",NA,NA,3,1410,32.90000153,2.200000048,0.800000012,5476,18.89999962,57100,0,NA,NA,NA,63.40425491,2.695035458,0
"West","Dillingham","AK",NA,NA,0,4012,32.20000076,3.200000048,1.899999976,0,15.30000019,30365,0,NA,NA,NA,25.39880371,0.199401796,0
"West","Fairbanks North Star","AK",NA,NA,11,77720,52.90000153,2.299999952,1,8931,25.20000076,41729,0.100000001,NA,NA,NA,82.02650452,7.144878864,0
"West","Haines","AK",NA,NA,1,2117,23.89999962,6.099999905,2.5,4134,17.60000038,44141,0,NA,NA,NA,85.12045288,0.047236655,0
"West","Juneau","AK",NA,NA,11,26751,45.20000076,3.299999952,1.799999952,4040,30.70000076,54088,0,NA,NA,NA,80.63249969,1.091547966,0
"West","Kenai Peninsula","AK",NA,NA,3,40802,72,3.700000048,1.299999952,7167,17.89999962,48339,0.400000006,NA,NA,NA,90.89995575,0.497524619,0
"West","Ketchikan Gateway","AK",NA,NA,12,13828,24.5,4.199999809,2.400000095,0,20.20000076,51716,0,NA,NA,NA,81.83396149,0.397743702,0
"West","Kodiak Island","AK",NA,NA,2,13309,43.29999924,2.200000048,1,9204,21.5,47600,0.300000012,NA,NA,NA,69.7948761,1.014351249,0
"West","Lake and Peninsula","AK",NA,NA,0,1668,24.70000076,3.5,1.600000024,0,14.39999962,26630,0.400000006,NA,NA,NA,23.32134247,0,0
"West","Matanuska-Susitna","AK",NA,NA,2,39683,152.1999969,3.299999952,1.399999976,9936,18.10000038,45252,1.299999952,NA,NA,NA,93.11039734,0.773631036,0
"West","Nome","AK",NA,NA,0,8288,30.89999962,3,2.099999905,1627,13.80000019,29795,0,NA,NA,NA,24.40878296,0.108590737,0
"West","North Slope","AK",NA,NA,0,5979,55.59999847,2.099999905,1.200000048,4536,14.10000038,53167,0,NA,NA,NA,21.30791092,0.685733378,0
"West","Northwest Arctic","AK",NA,NA,0,6113,31.5,2.5,2.099999905,8070,11.89999962,33318,0,NA,NA,NA,13.7575655,0.196302965,0
"West","Prince of Wales-Outer Ketchikan","AK",NA,NA,1,6278,67.69999695,2.400000095,1.100000024,6771,11.39999962,42857,1.100000024,NA,NA,NA,61.4686203,0.143357754,0
"West","Sitka","AK",NA,NA,3,8588,13.80000019,3.400000095,2.299999952,0,21.39999962,49327,0,NA,NA,NA,74.04518127,0.454122037,0
"West","Skagway-Yakutat-Angoon","AK",NA,NA,0,4385,23.5,3.599999905,1.799999952,0,15.80000019,43693,0.899999976,NA,NA,NA,60.41049194,0.159635127,0
"West","Southeast Fairbanks","AK",NA,NA,0,5913,0.400000006,2.599999905,1.200000048,0,19,32121,1.700000048,NA,NA,NA,78.97852325,4.904448032,0
"West","Valdez-Cordova","AK",NA,NA,0,9952,24.89999962,3.200000048,1.399999976,5947,18.5,52929,0.800000012,NA,NA,NA,82.86776733,0.572749197,0
"West","Wade Hampton","AK",NA,NA,0,5791,31.70000076,3.099999905,1.399999976,0,10.19999981,22215,0,NA,NA,NA,5.974788666,0.207218096,0
"West","Wrangell-Petersburg","AK",NA,NA,1,7042,14.10000038,4.5,2.700000048,3599,19.79999924,49083,0,NA,NA,NA,78.72763062,0.156205624,0
"West","Yukon-Koyukuk","AK",NA,NA,0,8478,6,2.799999952,1.899999976,0,13.80000019,27432,0.400000006,NA,NA,NA,42.27412033,1.037980676,0
"West","Apache","AZ",NA,NA,6,61591,20.70000076,4,2.700000048,711,8.5,16346,0.699999988,61.40000153,25.10000038,10.80000019,20.2237339,0.162361383,29.64394188
"West","Cochise","AZ",NA,NA,16,97624,18.29999924,8.100000381,4.699999809,4784,16.10000038,26152,0.899999976,38.29999924,36.79999924,23.70000076,81.66434479,5.201589584,33.95681381
"West","Coconino","AZ",NA,NA,6,96591,37.09999847,3.700000048,2,6348,24.60000038,30648,0.100000001,44.29999924,32.29999924,22,64.01838684,1.469080925,44.12212372
"West","Gila","AZ",NA,NA,9,40216,14.39999962,12.19999981,7.199999809,3772,9.699999809,24877,0.400000006,41,31.29999924,25.39999962,76.52675629,0.246170685,45.94688797
"West","Graham","AZ",NA,NA,6,26554,20.70000076,7.300000191,5.300000191,2396,11.30000019,21754,1.299999952,35,43,19.20000076,77.58906555,1.890487313,36.52556992
"West","Greenlee","AZ",NA,NA,5,8008,-24.5,7.199999809,4,1974,10.39999962,29945,1.299999952,42.79999924,36.59999847,20,85.35214996,0.349650353,49.4755249
"West","La Paz","AZ",NA,NA,3,13844,8.899999619,12.19999981,6.900000095,3856,8.5,18771,1.200000048,36.40000153,32.20000076,30,74.65328217,0.852354825,35.83501816
"West","Maricopa","AZ",6200,NA,240,2122101,46.40000153,7.400000095,5.099999905,8179,22.10000038,36078,0.100000001,32.59999847,41.09999847,25.29999924,84.79426575,3.499220848,41.31904984
"West","Mohave","AZ",4120,NA,8,93497,89.80000305,14.19999981,6.5,6981,10.30000019,27010,0.100000001,32.59999847,33.70000076,31.29999924,95.01267242,0.324074566,43.44096756
"West","Navajo","AZ",NA,NA,8,77658,19.79999924,5.300000191,2.900000095,3943,10,21336,0.200000003,44.20000076,32.40000153,19.39999962,44.04568863,0.905251205,31.72628784
"West","Pima","AZ",8520,NA,75,666880,29.89999962,8.199999809,5.5,8362,23.29999924,30985,0.100000001,45.70000076,34.5,19.20000076,78.72120667,3.118252277,42.20909119
"West","Pinal","AZ",6200,NA,22,116379,32.90000153,8.800000191,4.900000095,5618,8.199999809,23993,0.800000012,42.09999847,31.79999924,25.10000038,74.94393158,3.134586096,31.56841087
"West","Santa Cruz","AZ",NA,NA,26,29676,55.29999924,6.699999809,3.900000095,5409,10.80000019,24431,0.600000024,43.5,37.40000153,17.89999962,74.66976929,0.326863468,27.22738838
"West","Yavapai","AZ",NA,NA,14,107714,70.30000305,15.19999981,8.600000381,3586,17.70000076,26238,0.300000012,30.70000076,39.40000153,27.60000038,95.72200775,0.298011392,55.1599617
"West","Yuma","AZ",9360,NA,21,106895,54.20000076,8.899999619,4.900000095,7861,12.69999981,25648,0.5,37,41.5,20.39999962,75.49651337,2.858880281,26.23602676
"South","Arkansas","AR",NA,NA,22,21653,-11.80000019,9,7.800000191,4664,10.30000019,23091,4.699999809,59,32.5,8,77.66129303,21.88149452,36.85401535
"South","Ashley","AR",NA,NA,27,24319,-7.400000095,8,6.599999905,4299,9.300000191,25077,1.700000048,61.40000153,28.10000038,9.699999809,72.0054245,27.20506668,39.33961105
"South","Baxter","AR",NA,NA,58,31186,18.10000038,16.5,12.69999981,1328,10.39999962,21545,1.700000048,44.40000153,35.90000153,18.70000076,99.28813934,0.012826269,50.44571304
"South","Benton","AR",2580,NA,125,97499,35.20000076,10.89999962,7,3568,14.39999962,29887,3.700000048,36.40000153,48.79999924,14.19999981,97.40407562,0.127180785,44.3891716
"South","Boone","AR",NA,NA,49,28297,12,9.199999809,8,1727,10.69999981,24576,5.699999809,42.40000153,42.20000076,14.39999962,99.08470917,0.017669717,51.01954269
"South","Bradley","AR",NA,NA,18,11793,-16.10000038,9.899999619,8.899999619,3849,9.800000191,21644,1.899999976,61.09999847,30.60000038,8.100000381,67.93860626,30.93360519,41.0158577
"South","Calhoun","AR",NA,NA,9,5826,-5.800000191,8.899999619,7.599999905,1599,7.400000095,25048,2.200000048,51.40000153,38.70000076,9.5,74.78544617,24.83693695,46.37830353
"South","Carroll","AR",NA,NA,31,18654,20.39999962,10.19999981,7.900000095,3220,11.60000038,24262,7.800000191,42.59999847,39.90000153,16.89999962,98.72413635,0.032164682,47.48043442
"South","Chicot","AR",NA,NA,24,15713,-11.60000038,8.100000381,8.100000381,5612,8.300000191,16749,4.5,68.69999695,24.39999962,6.800000191,42.58893967,56.38006592,32.45083618
"South","Clark","AR",NA,NA,25,21437,-8.600000381,8.699999809,8,1184,17.89999962,24098,2.400000095,64.59999847,26.89999962,8,76.24201202,22.9183197,41.61962891
"South","Clay","AR",NA,NA,28,18107,-13.30000019,10.89999962,9.800000191,1587,5.199999809,19662,6.900000095,68.5,23.29999924,8,99.58027649,0.033136357,39.10089874
"South","Cleburne","AR",NA,NA,37,19411,20.29999924,12.39999962,8.5,2410,9.399999619,22318,4.599999905,51,35.90000153,12.69999981,99.38694763,0.030910309,51.41414642
"South","Cleveland","AR",NA,NA,13,7781,-0.100000001,7.900000095,7,662,7.800000191,24469,4.099999905,56,33.40000153,10,85.86299896,13.61007595,43.41344452
"South","Columbia","AR",NA,NA,34,25691,-3.400000095,8.5,8.300000191,1420,13.10000038,23360,2.200000048,48.29999924,37.70000076,11.10000038,64.47393799,35.00058365,38.21960831
"South","Conway","AR",NA,NA,35,19151,-1.399999976,9.199999809,7.199999809,1330,9.800000191,24659,5,57.79999924,32.09999847,9.5,84.27236176,15.01749229,44.28489304
"South","Craighead","AR",NA,NA,100,68956,12.19999981,6.800000191,5.400000095,5275,16.39999962,27168,1.799999952,54.40000153,35.59999847,8.899999619,93.46395111,5.478856087,37.11932373
"South","Crawford","AR",2720,NA,75,42493,20.5,6.800000191,5.099999905,2785,7.599999905,24391,2.099999905,41.20000076,42.59999847,15.10000038,96.42529297,0.880144954,38.04156113
"South","Crittenden","AR",4920,NA,81,49939,0.5,6.099999905,4.5,5223,9.800000191,25301,1.100000024,56.59999847,34.5,5,56.37277603,42.85428238,34.25779343
"South","Cross","AR",NA,NA,31,19225,-5.699999809,7.599999905,6.300000191,2727,8,21988,4,58.09999847,33,8.600000381,74.60597992,24.87386131,36.33810043
"South","Dallas","AR",NA,NA,14,9614,-9.699999809,9.5,8.800000191,3701,8.800000191,23156,1.100000024,53.70000076,37.09999847,8.800000191,61.08799744,38.46474075,40.82587814
"South","Desha","AR",NA,NA,21,16798,-17.60000038,7.599999905,7.199999809,4655,10.39999962,19786,3.400000095,67.90000153,22.79999924,7,56.55435181,42.49910736,33.46231842
"South","Drew","AR",NA,NA,21,17369,-3.799999952,7.099999905,6.400000095,1267,13.89999962,22913,2.799999952,59.5,30.79999924,9.5,72.14002228,27.37060356,36.26000214
"South","Faulkner","AR",4400,NA,99,60006,39.29999924,6.099999905,4.599999905,4482,17.89999962,28455,2.200000048,51.59999847,37.59999847,9.699999809,91.06422424,7.962537289,42.02079773
"South","Franklin","AR",NA,NA,25,14897,3,9.100000381,7.699999809,1610,8.800000191,22072,6,47.79999924,37,14.69999981,98.30167389,0.664563358,45.21715927
"South","Fulton","AR",NA,NA,16,10037,-0.100000001,12.19999981,9,1649,5.400000095,18072,9.899999619,59.70000076,26.60000038,13.30000019,99.32250977,0.099631362,47.18541336
"South","Garland","AR",NA,NA,112,73397,7.900000095,12.89999962,9.199999809,5498,14.19999981,25268,0.699999988,52.29999924,35.79999924,9.699999809,90.97102356,7.635189533,49.04151535
"South","Grant","AR",NA,NA,23,13948,10.80000019,7.099999905,5.699999809,2615,9.300000191,28313,1.700000048,51.5,36.70000076,11.30000019,96.72354126,2.702896357,44.43647766
"South","Greene","AR",NA,NA,57,31804,6.599999905,8.600000381,6.900000095,3250,9.100000381,23346,3.799999952,61.20000076,28.5,9.800000191,99.44346619,0.062885173,38.74355316
"South","Hempstead","AR",NA,NA,30,21621,-7.400000095,8.399999619,8.199999809,5670,9.300000191,20649,3.099999905,61.40000153,26.79999924,11.5,68.85897827,29.89686012,41.26543808
"South","Hot Spring","AR",NA,NA,43,26115,-1.5,9.600000381,7.099999905,2713,9,22546,2.099999905,59.40000153,28.60000038,11.39999962,88.32471466,10.97070694,40.65096664
"South","Howard","AR",NA,NA,23,13569,0.899999976,8.600000381,8.600000381,2075,8.300000191,25308,8.199999809,55.59999847,34.70000076,9.399999619,77.41175079,21.51226997,36.66445541
"South","Independence","AR",NA,NA,41,31192,4.800000191,8.100000381,6.599999905,3098,10.30000019,24699,3.799999952,55.20000076,33,11.19999981,97.28135681,1.907540441,41.16440201
"South","Izard","AR",NA,NA,20,11364,8.699999809,14.30000019,11.60000038,305,9.399999619,20429,6.300000191,61.20000076,27.39999962,10.80000019,99.13762665,0.0967969,49.17282486
"South","Jackson","AR",NA,NA,30,18944,-12.30000019,9.5,8.199999809,2286,6.699999809,20919,3.799999952,65.69999695,24.79999924,8.899999619,84.88703918,14.5639782,39.71706009
"South","Jefferson","AR",6240,NA,96,85487,-6,7.5,6,7277,14.60000038,26360,0.699999988,68.80000305,23.70000076,6.5,56.00617599,43.13755417,37.07230377
"South","Johnson","AR",NA,NA,28,18221,7.300000191,9.199999809,8.100000381,2899,12,21345,4.5,52.09999847,33.79999924,13.39999962,96.76746368,1.695845485,41.58937454
"South","Lafayette","AR",NA,NA,18,9643,-8.5,9.199999809,8.5,1305,6.900000095,18428,3.900000095,57.09999847,29.89999962,12.69999981,61.01835632,38.48387527,41.26309204
"South","Lawrence","AR",NA,NA,30,17457,-6,9.800000191,8.899999619,1062,6.099999905,19917,4.400000095,59.79999924,30.70000076,9.199999809,98.65956116,0.504095793,39.69181442
"South","Lee","AR",NA,NA,21,13053,-17.10000038,8.300000191,7.400000095,4655,7.400000095,14213,4.199999809,67.80000305,25.5,6.099999905,41.74519348,57.35846329,38.81100082
"South","Lincoln","AR",NA,NA,25,13690,3.900000095,6.099999905,5.900000095,767,5.599999905,22680,3.400000095,64.5,26.29999924,9,62.89992523,36.04821014,31.75310516
"South","Little River","AR",NA,NA,26,13966,-1.799999952,7.699999809,6.400000095,2895,8.100000381,26314,4.900000095,58.20000076,25.89999962,15.60000038,77.47386169,20.98668289,40.94228745
"South","Logan","AR",NA,NA,29,20557,2.900000095,9,8,1099,6.800000191,22227,5.599999905,46,39.20000076,14,97.69421387,1.328014731,42.25811005
"South","Lonoke","AR",4400,NA,53,39268,18.5,6.5,5.099999905,2236,10,28007,3.700000048,50.29999924,39.5,9.800000191,90.13700867,9.004787445,40.29744339
"South","Madison","AR",NA,NA,15,11618,8.399999619,9.199999809,7.199999809,998,8.199999809,20929,13.69999981,45.79999924,42.40000153,11.30000019,98.42485809,0.025822001,45.42089844
"South","Marion","AR",NA,NA,21,12001,9.800000191,13.5,9.300000191,1140,8,20745,6.699999809,44.09999847,32.40000153,21.20000076,99.15007019,0.049995832,52.03733063
"South","Miller","AR",8360,NA,62,38467,2.299999952,7.800000191,6.199999809,9636,9.5,25345,1.600000024,48.20000076,36.09999847,15.39999962,76.59552002,22.42181587,38.01440048
"South","Mississippi","AR",NA,NA,61,57525,-7.5,6.5,5.199999809,7389,10.5,21467,1.700000048,62.90000153,29.39999962,6.099999905,70.73272705,27.82442474,27.74793625
"South","Monroe","AR",NA,NA,18,11333,-22.60000038,9.600000381,8.399999619,3376,8.399999619,17892,4.199999809,60.29999924,31,8.300000191,60.54883957,39.01879501,37.69522476
"South","Montgomery","AR",NA,NA,10,7841,2.599999905,11.39999962,8.5,1972,7,19523,7.800000191,51.29999924,32.5,15.5,98.43132019,0.102027804,47.34090042
"South","Nevada","AR",NA,NA,16,10101,-10.39999962,9.600000381,8.699999809,1197,9.800000191,22304,4.900000095,56.79999924,30.79999924,11.5,67.87446594,31.64043236,39.08523941
